trending_id,trend_date_time,trend,user1_id,tweet1,user2_id,tweet2,user3_id,tweet3,user4_id,tweet4,user5_id,tweet5
1,2021-12-03 21:03:31.034742,#HappyBirthdayJin,0,-,0,-,0,-,0,-,0,-
2,2021-12-03 21:03:31.286371,suga,28431722,"Começou!

Eles estão todos de terno e sentados na ordem oficial: V, Suga, Jin, Jungkook, RM, Jimin e j-hope

#BTSxQuem",28431722,"Como estão se sentindo com a nova indicação ao Grammy

SUGA: Fomos indicados dois anos seguidos e ainda não aprece… https://t.co/hVU4mBwc9F",28431722,"Vocês se preocupam com o futuro agora que já receberam tantos prêmios e reconhecimentos importantes?

SUGA: Acho qu… https://t.co/laelJIjC5H",78148969,"OH Léo Dias eu vou mandar a fatura pra você, do salário da Fabia Oliveira tá? Porque sua coluna tá um cópia e cola… https://t.co/uqXiScG2mV",0,-
3,2021-12-03 21:03:31.417346,#JINDAY,132699857,"REIZINHO! Jin, membro do BTS, está completando 29 anos no dia de hoje. 

Muitas felicidades para a lenda 🥳

#JINDAY https://t.co/x7SSykPCrJ",0,-,0,-,0,-,0,-
4,2021-12-03 21:03:31.527791,#playplusmudo,0,-,0,-,0,-,0,-,0,-
5,2021-12-03 21:03:31.720859,TE AMAMOS DAYANE MELLO,34590687,TE AMAMOS DAYANE MELLO ❤️🍷 https://t.co/RcyA8Rz3kU,0,-,0,-,0,-,0,-
6,2021-12-03 21:03:31.857518,#OClone,18219976,Jade já pode comemorar: Said desistiu do casamento! Mas...... nem tudo saiu do jeito que ela esperava 👁️👁️ #OClone https://t.co/NDQDcKWkoL,18219976,Jade contou sobre a gravidez para Said. #OClone https://t.co/tsm7MTiZWH,18219976,Nazira não perdoa! 😂 #OClone https://t.co/5e29CpJWzK,0,-,0,-
7,2021-12-03 21:03:32.05023,Faro,921344216948756481,"""Estreando uma nova dupla: Faro e Caninana"", declara @RodrigoFaro 😅 O @horadofaro com @daymelloreal promeete 🔥… https://t.co/1z5jiS5JYa",1346977692919492609,"A atividade ainda não começou para os peões lá dentro, mas essas são as plaquinhas que a Dayane deu para o Bil na H… https://t.co/TAaWnQdSx5",57856697,Rico é o nome da edição. Fez Galisteu abrir a noite mais importante do reality batendo panela. Colocou o Faro para… https://t.co/RcpGlzC64f,16581972,"Ontem nós recebemos @manugavassi no Faro Novabrasil, e você pode conferir a entrevista na íntegra pelo nosso podcas… https://t.co/5tCqZbYJjC",458594879,"A gravação da Hora do Faro começou, porém o PlayPlus está mudo. 🤡 #AFazenda"
8,2021-12-03 21:03:32.252479,Leclerc,17708280,"Leclerc tá bem, já voltou pro padoque , liberado sem precisar ir ao hospital",17708280,Parece milagre: não só Leclerc saiu bem mas vai poder usar a mesma unidade de potência e o chassis,57398778,E o circuito de Jeddah faz a primeira vítima. Vejam como ficou a Ferrari do Leclerc... #f1 #Formula1 https://t.co/2J3Lzej2Rz,90697573,".@maribecker traz informações de @Charles_Leclerc após a batida

Piloto da @ScuderiaFerrari sofreu um acidente depo… https://t.co/o73L920ZTc",90697573,"BANDEIRA VERMELHA! 🚩Leclerc bateu no muro! 😦

#F1noBandSports #F1 #SaudiArabianGP https://t.co/8f9oof5FA3"
9,2021-12-03 21:03:32.373486,#JinBirthday,0,-,0,-,0,-,0,-,0,-
10,2021-12-03 21:03:32.515886,Magnus Carlsen,234966034,Magnus Carlsen é foda demais.,0,-,0,-,0,-,0,-
11,2021-12-04 03:00:12.345526,Fortaleza,36381921,"EU TE AMO, FORTALEZA! ❤️💙🤍",1058748734820044800,"Juramos que seriam 100 dias, mas nossa conexão é tão forte!!! VC é minha fortaleza, obrigado por tudo! GIRAH é pra… https://t.co/zr5X0qVg08",49751816,"Olha quem veio nos visitar no treino de hoje!

O Daniel, o torcedor santista que se emocionou no jogo contra o Fort… https://t.co/W2X2bduklT",124658538,FIM. O Fortaleza é o primeiro clube do Nordeste a conquistar a vaga na Libertadores via pontos corridos na história… https://t.co/xutrxVGVM4,19351269,"É INÉDITO! LEÃO NA LIBERTADORES 🦁

Fortaleza vence o Juventude por 1 a 0 e está matematicamente classificado para a… https://t.co/2fFqYfIQ7t"
12,2021-12-04 03:00:12.453154,MURILO HUFF EM BRASILIA,0,-,0,-,0,-,0,-,0,-
13,2021-12-04 03:00:12.570605,#AtitudeLGBTQ,0,-,0,-,0,-,0,-,0,-
14,2021-12-04 03:00:12.719282,PROFUMO DAYANEANDYOU,1349374866139570178,"Três mil comentários aqui com a tag. Bora?! 

PROFUMO DAYANEANDYOU",0,-,0,-,0,-,0,-
15,2021-12-04 03:00:12.999548,Hugo,3091517266,"QUE DEFESA SENSACIONAAAAALLLLLLLLLLLLLLLLLLLLLLLLLLL!!! O HUGO É MONSTROOOOO!!! #colunadofla 

https://t.co/s8hiqzlopt",332324517,"Honrado em receber esse elogio do meu amigo @tarcisiogdf ! Parabéns por todo trabalho, camarada! Conte comigo por a… https://t.co/vCUj5GGcUw",102241754,"Hugo Souza:

""Eu reavaliei muita coisa. Precisei repensar muita coisa. Extracampo e dentro de campo. Trabalhei meu… https://t.co/27A57SG0EV",3157927787,"Hugo merece apoio, hein?",130343319,"Hugo tem muita personalidade. Admitiu que falhou dentro e fora de campo, caiu para terceira opção, mas está agarran… https://t.co/LkgYEnNGu5"
16,2021-12-04 03:00:13.124894,GIRABRAHMA EM JAGUARIUNA,0,-,0,-,0,-,0,-,0,-
17,2021-12-04 03:00:13.258774,#LaCasaDePapael5,0,-,0,-,0,-,0,-,0,-
